ID,Phrase
1,How are you really?
2,How do you feel right now? What are you thinking about?
3,Whats your favorite color?
4,Whats your favorite food?
5,Whats your favorite dessert?
6,How old are you?
7,What have you learned today?
8,What was your favorite subject in school?
9,What do you do?
10,What are some of your favorite books?
11,What are some of your favorite movies?
12,What kind of music are you into?
13,"If you were going to write a book, what would you call it and what would it be about?"
14,Whats one of the scariest things youve ever done?
15,What accomplishment are you most proud of?
16,Are you married?
17,"How did you meet your spouse, girlfriend, boyfriend?"
18,Do you think its better to get married when youre young or better to wait a while?
19,Do you have any kids?
20,Have you ever thought of adopting?
21,"When you were a kid, what did you want to be when you grew up?"
22,What do you do for fun?
23,Do you like traveling?
24,"If you could visit any country in the world, where would you go?"
25,Who are some people youd like to meet someday?
26,"If someone asked you to give them a random piece of advice, what would you say?"
27,Whats one of your favorite habits you have?
28,What are some things that make you really happy?
29,What are some things that make you really sad?
30,What are some things that scare you?
31,Do you like to plan things out in detail or be spontaneous?
32,Are you a religious person?
33,"If you could go back in history, who would you like to meet?"
34,Would you rather live in the country or in the city?
35,What was your life like growing up?
36,What were you like in high school?
37,Do you have any brothers or sisters? How many?
38,Whats your favorite part about today so far?
39,Who in your life has influenced you the most? How did they do it?
40,Whats your favorite joke?
41,Have you ever tried sushi and did you like it?
42,Do you like spicy food?
43,How do you like your steak cooked?
44,Do you have a favorite number? Any particular reason why you like that number?
45,"If you were a type of animal, what would you be and why?"
46,Whats one of the strangest things youve ever done?
47,What kind of vacations do you like?
48,What are some of your major goals in life?
49,What are some of your smaller goals in life?
50,What do you like least about yourself?
51,What embarrasses you?
52,"If you could try out any job for a day, what would you like to try?"
53,Whats your earliest memory?
54,Whats the best decision you ever made?
55,Whos your best / closest friend?
56,What do you think people think of you?
57,What were your grades like in school?
58,"If you could learn one random skill, what would you learn?"
59,Are you an introvert or an extrovert?
60,"Have you ever taken a personality test, and if you did, how did the results turn out?"
61,Whats the first thing you notice about people?
62,Do you think people can control their own destiny?
63,"Do you think all people are equally valuable, or do you think some people in certain situations might be more valuable than others (say, a severely retarded patient vs. a doctor who could potentially save hundreds of lives)?"
64,Do you think people are basically bad or basically good?
65,"Do you think morals are universal or relative to the beliefs, traditions, and practices of individuals or groups?"
66,Do you think God exists?
67,Do you think any kind of afterlife exists?
68,"Do you vote? Why / Why not? If you do vote, how do you usually vote?"
69,Do you think gay people choose to be gay? Do you think straight people choose to be straight?
70,"Is torture ever a good option? If no, why not? If yes, when?"
71,Would you kill an innocent person if you thought it might mean saving a dozen other people?
72,Whats the most money youve ever given away?
73,Whats the biggest personal change youve ever made?
74,Whats the stupidest thing youve ever done?
75,What do you think would be one of the best steps we could take toward ending poverty around the world?
76,What do you think we could do to best improve the education system?
77,"In general, what do you think about art?"
78,What are some of your favorite websites?
79,Whats the biggest turnoff in a man/woman?
80,Whats the biggest lie youve ever told?
81,Whats something most people dont know about you?
82,Whats something you wish everyone knew about you?
83,What are some of the first things you do in the morning?
84,Whats the worst thing thats ever happened to you?
85,Do you cry easily?
86,How do you feel about public speaking?
87,Do you like to talk on the phone?
88,"How many emails do you get each week, roughly?"
89,"If someone were to make a movie about your life, who would you hope would play you?"
90,Whats one of your favorite questions to ask new friends or to get a conversation going?
91,Would you ever sky dive or bungee jump?
92,Have you ever been in a fist fight?
93,Whats the best prank youve ever pulled?
94,What did you do on your 16th birthday?
95,What do you think is one of the most undervalued professions right now?
96,How would you explain your basic life philosophy?
97,Would you rather be hated or forgotten?
98,"If you knew you would die tomorrow, would you feel cheated today?"
